City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,seymchan,62.8833,152.4333,-18.48,72,10,1.75,RU,1679799498
326,nicoya,10.1483,-85.452,25.65,71,36,3.01,CR,1679799268
327,karratha,-20.7377,116.8463,32.0,50,89,2.42,AU,1679799498
328,shingu,33.7333,135.9833,15.4,95,100,2.1,JP,1679799499
329,letpadan,17.7833,95.75,32.19,36,0,3.17,MM,1679799500
330,sambava,-14.2667,50.1667,23.98,88,97,3.32,MG,1679799501
331,kutum,14.2,24.6667,18.35,29,35,5.68,SD,1679799501
332,jardim,-21.4803,-56.1381,22.79,89,47,1.23,BR,1679799502
333,north bend,43.4065,-124.2243,5.95,82,100,2.57,US,1679799502
334,zhezkazgan,47.8043,67.7144,0.99,100,61,2.0,KZ,1679799503
335,george,-33.963,22.4617,15.75,94,100,5.66,ZA,1679799504
336,vanavara,60.34,102.2797,-2.53,95,100,5.15,RU,1679799504
337,san pedro,14.35,121.0167,31.84,60,20,3.09,PH,1679799505
338,isla vista,34.4133,-119.861,12.42,56,0,5.35,US,1679799506
339,mahebourg,-20.4081,57.7,26.16,83,75,3.6,MU,1679799305
340,vestmannaeyjar,63.4427,-20.2734,1.97,76,100,8.36,IS,1679799507
341,talnakh,69.4865,88.3972,-16.55,99,100,1.19,RU,1679799507
342,zaria,11.1113,7.7227,24.53,18,92,3.77,NG,1679799508
343,sechura,-5.5569,-80.8222,27.3,71,60,6.72,PE,1679799508
344,leh,34.1667,77.5833,-5.03,85,100,0.35,IN,1679799509
345,tual,-5.6667,132.75,28.59,73,100,5.5,ID,1679799509
346,port-cartier,50.0334,-66.8654,-4.18,92,100,1.52,CA,1679799510
347,caravelas,-17.7125,-39.2481,24.89,88,59,2.16,BR,1679799511
348,roma,43.2128,-75.4557,6.57,88,100,6.69,US,1679799511
349,kaeo,-35.1,173.7833,25.18,59,3,3.32,NZ,1679799512
350,vanimo,-2.6741,141.3028,29.4,66,96,1.85,PG,1679799512
351,touros,-5.1989,-35.4608,25.46,84,32,3.36,BR,1679799513
352,abu zabad,12.35,29.25,22.92,24,17,7.09,SD,1679799513
353,saint-augustin,51.226,-58.6502,-1.98,91,60,2.12,CA,1679799514
354,khasan,42.4308,130.6434,4.1,57,97,1.02,RU,1679799514
355,paijan,-7.7333,-79.3022,24.57,75,13,4.73,PE,1679799515
356,san cristobal,7.7669,-72.225,21.1,76,74,0.85,VE,1679799218
357,juba,4.8517,31.5825,25.7,64,100,5.67,SS,1679799516
358,ponta delgada,37.7333,-25.6667,16.4,94,40,4.12,PT,1679799516
359,srednekolymsk,67.45,153.6833,-19.1,83,100,6.68,RU,1679799517
360,nara,34.6851,135.8049,11.94,80,100,2.54,JP,1679799462
361,rawson,-43.3002,-65.1023,14.28,50,5,8.12,AR,1679799517
362,tongliao,43.6125,122.2653,3.96,20,0,2.61,CN,1679799518
363,pudozh,61.8099,36.5345,-7.57,95,94,1.02,RU,1679799519
364,dingle,10.9995,122.6711,31.18,58,83,4.88,PH,1679799520
365,eydhafushi,5.1033,73.0708,27.79,74,1,2.87,MV,1679799521
366,kilindoni,-7.9139,39.6668,25.9,84,99,4.77,TZ,1679799521
367,horsham,51.064,-0.3272,8.47,90,75,1.54,GB,1679799522
368,chippewa falls,44.9369,-91.3929,3.1,60,75,2.57,US,1679799522
369,omboue,-1.5746,9.2618,25.21,89,100,2.48,GA,1679799523
370,alofi,-19.0595,-169.9187,28.94,79,47,1.54,NU,1679799523
371,isla aguada,18.7833,-91.4667,27.53,79,63,7.6,MX,1679799524
372,caucaia,-3.7361,-38.6531,27.8,74,40,1.03,BR,1679799524
373,sarkand,45.41,79.9186,11.28,28,2,0.92,KZ,1679799525
374,madang,-5.2246,145.7966,29.51,68,77,3.07,PG,1679799299
375,rocha,-34.4833,-54.3333,18.42,93,81,3.85,UY,1679799526
376,mitzic,0.7821,11.549,19.93,99,100,0.67,GA,1679799526
377,jalingo,8.8833,11.3667,26.51,65,100,0.92,NG,1679799528
378,iguape,-24.7081,-47.5553,22.99,93,100,1.52,BR,1679799528
379,saint-junien,45.8833,0.9,11.32,94,100,4.3,FR,1679799529
380,nuuk,64.1835,-51.7216,-11.94,85,100,2.19,GL,1679799529
381,lake cowichan,48.825,-124.0546,5.16,99,99,0.66,CA,1679799530
382,hobyo,5.3505,48.5268,27.57,67,19,5.0,SO,1679799530
383,natchitoches,31.7668,-93.1335,17.99,63,75,0.0,US,1679799531
384,itoman,26.1247,127.6694,20.22,96,75,6.69,JP,1679799531
385,plainfield,40.6168,-74.4173,7.36,94,100,3.09,US,1679799532
386,puerto colombia,10.9878,-74.9547,26.05,81,32,12.44,CO,1679799532
387,carnarvon,-24.8667,113.6333,25.24,65,0,7.5,AU,1679799533
388,isangel,-19.55,169.2667,27.14,84,100,5.1,VU,1679799533
389,evensk,61.95,159.2333,-13.49,56,100,2.57,RU,1679799534
390,mehtar lam,34.6714,70.2094,13.39,66,12,0.46,AF,1679799534
391,lazaro cardenas,17.9583,-102.2,23.65,80,100,2.29,MX,1679799535
392,urengoy,65.9667,78.3667,-15.26,96,100,0.84,RU,1679799535
393,gunupur,19.0833,83.8167,28.84,59,4,1.61,IN,1679799536
394,kalabo,-14.97,22.6814,17.77,95,98,2.19,ZM,1679799537
395,akdepe,42.0551,59.3788,7.05,21,95,3.65,TM,1679799537
396,kroonstad,-27.6504,27.2349,12.95,94,1,1.52,ZA,1679799538
397,lere,10.387,8.5726,23.27,48,93,1.92,NG,1679799538
398,lima,-12.0432,-77.0282,24.39,81,0,5.14,PE,1679799539
399,mehamn,71.0357,27.8492,-6.03,86,75,4.63,NO,1679799539
400,bonavista,48.6499,-53.1147,-1.25,89,56,9.45,CA,1679799540
401,marabba,12.35,32.1833,25.15,21,66,6.81,SD,1679799541
402,santa cruz,-17.8,-63.1667,24.7,88,18,1.54,BO,1679799316
